,Player,Weighted Rank,Rank,Trend,Pos,Years,3P_Percentile,FG%_Percentile,TRB_Percentile,FT%_Percentile,AST_Percentile,STL_Percentile,BLK_Percentile,PTS_Percentile
23,Ayo Dosunmu,5.153245192307692,5.153245192307692,0.001274294063379745,['SG'],1,0.578125,0.8245192307692307,0.5048076923076923,0.1935096153846154,0.8461538461538461,0.7668269230769231,0.6862980769230769,0.6310096153846154
259,LaMarcus Aldridge,5.136277272740475,5.55634478663044,-0.5600900185199531,['C'],4,0.30862906513314436,0.8238090032753793,0.8490520686088567,0.8166551304896503,0.5662365714735992,0.4169376129305232,0.9305638261238386,0.8323467877389817
265,Lauri Markkanen,5.120976437166262,5.232355098165125,-0.11137866099886268,['SF' 'PF'],5,0.8278700970578443,0.44967578516104706,0.8032390623151329,0.8002778888075355,0.34553502900007593,0.48537958529600955,0.6413341311886387,0.7520101781615665
37,Bruce Brown,5.0728639268889415,4.565285302131567,0.6767714996764994,['SF' 'PG' 'SG'],4,0.3072122151395359,0.5677659657823505,0.6690418678509799,0.39922084604128083,0.6217670892385991,0.7594157415478594,0.7487605874392282,0.4877971975017746
60,Coby White,5.062702608286815,5.131342247012139,-0.1372792774506474,['PG'],3,0.8763889854634871,0.24320757702372334,0.5734132558606686,0.7739351919715083,0.7997579788366947,0.5254910922722781,0.2905645573521563,0.7785774963646189
279,Marcus Morris,5.0622264865095215,4.999877904932627,0.062348581576894095,['PF' 'SF-PF'],5,0.8139324780246214,0.46883646023228254,0.6831354712757198,0.7531020359610854,0.43294009630770913,0.47531612147494773,0.496611852039751,0.7434863188565974
174,Jalen Brunson,5.0489445467033445,4.509477101347795,0.7192899271407338,['SG' 'PG'],4,0.5836846084916051,0.7265984341908018,0.48744951359250727,0.5723321623585262,0.8446390418203986,0.5025681203421716,0.058659198400578594,0.6915056602129348
58,Chuma Okeke,5.047782748694473,4.638233766619183,1.6381959283011622,['PF'],2,0.6276293922127255,0.149102267331434,0.6300495607787274,0.594880698005698,0.5614153015194683,0.8320037986704654,0.7068346391263058,0.4541547958214625
406,Wendell Carter Jr.,5.041662135983965,4.568588112624407,0.6307653644794111,['PF' 'C'],4,0.2648697867175956,0.8030381438421357,0.857565792201164,0.39299143149137405,0.4705101871171231,0.4264398925633342,0.8252890002425355,0.5629493330579497
93,Delon Wright,5.018808767672114,5.040848554924298,-0.022039787252183425,['SG' 'SG-PG' 'PG'],5,0.4920254913600243,0.5506526900974007,0.591616736353779,0.6551768565359763,0.8143681905512246,0.9131796984913656,0.6215144273147681,0.5026146187682244
